CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
8	61540	470989	11.56	532529
9	60578	467548	11.47	528126
10	60017	463794	11.46	523811
11	60246	462324	11.53	522570
12	59757	459626	11.51	519383
13	59373	455547	11.53	514920
14	58615	451158	11.50	509773
15	58666	447599	11.59	506265
16	57076	441638	11.44	498714
17	56717	440668	11.40	497385
18	56515	436812	11.46	493327
19	56472	432806	11.54	489278
20	55628	429197	11.47	484825
21	54663	425444	11.39	480107
22	54407	420607	11.45	475014
23	53680	416720	11.41	470400
24	52967	413248	11.36	466215
25	51821	407831	11.27	459652
26	51988	404069	11.40	456057
27	51473	398683	11.43	450156
28	50569	393082	11.40	443651
29	50287	388909	11.45	439196
30	49429	385817	11.36	435246
31	49370	380840	11.48	430210
32	48596	376124	11.44	424720
33	47634	371645	11.36	419279
34	47747	368289	11.48	416036
35	46651	362863	11.39	409514
36	46478	359444	11.45	405922
37	45683	355218	11.40	400901
38	44963	350973	11.36	395936
39	45123	347132	11.50	392255
40	44022	343356	11.36	387378
41	43867	337560	11.50	381427
42	43630	336720	11.47	380350
43	42973	331609	11.47	374582
44	42436	328279	11.45	370715
45	41922	323961	11.46	365883
46	41282	320331	11.42	361613
47	40682	315974	11.41	356656
48	40678	311519	11.55	352197
49	39954	307755	11.49	347709
50	38949	303200	11.38	342149
51	38685	299941	11.42	338626
52	38569	296517	11.51	335086
53	37954	292184	11.50	330138
54	37613	288653	11.53	326266
55	37043	286373	11.45	323416
56	36640	282326	11.49	318966
57	36285	278659	11.52	314944
58	35390	275218	11.39	310608
59	34733	272217	11.32	306950
60	34444	268580	11.37	303024
61	34497	265578	11.50	300075
62	33676	262033	11.39	295709
63	33435	259369	11.42	292804
64	32820	254465	11.42	287285
65	32572	250302	11.51	282874
66	32058	248633	11.42	280691
67	31673	244750	11.46	276423
68	31472	241256	11.54	272728
69	30779	239381	11.39	270160
70	30323	235482	11.41	265805
71	30172	232909	11.47	263081
72	30050	229833	11.56	259883
73	29406	226279	11.50	255685
74	29045	224012	11.48	253057
75	28672	221429	11.46	250101
76	28186	217923	11.45	246109
77	28092	215333	11.54	243425
78	27435	212371	11.44	239806
79	27184	210687	11.43	237871
80	26621	206545	11.42	233166
81	26395	204817	11.42	231212
82	26085	202114	11.43	228199
83	25878	200002	11.46	225880
84	25452	196666	11.46	222118
85	25418	194374	11.56	219792
86	24691	192218	11.38	216909
87	24550	189536	11.47	214086
88	24031	186106	11.44	210137
89	23644	183736	11.40	207380
90	23654	181253	11.54	204907
91	23167	180317	11.39	203484
92	22773	177319	11.38	200092
93	22556	175748	11.37	198304
94	22570	172955	11.54	195525
95	21873	170619	11.36	192492
96	22062	169875	11.49	191937
97	21282	166893	11.31	188175
98	20954	164259	11.31	185213
99	21218	161617	11.60	182835
100	20647	160303	11.41	180950
101	20253	158866	11.31	179119
102	20270	155711	11.52	175981
103	19534	153989	11.26	173523
104	19555	152878	11.34	172433
105	19453	149962	11.48	169415
106	19130	148311	11.42	167441
107	18614	146470	11.28	165084
108	18516	144714	11.34	163230
109	18273	142189	11.39	160462
110	17975	140403	11.35	158378
111	17752	138283	11.38	156035
112	17639	137565	11.37	155204
113	17175	135491	11.25	152666
114	17097	134451	11.28	151548
115	16919	132636	11.31	149555
116	16564	130040	11.30	146604
117	16300	129645	11.17	145945
118	16234	127461	11.30	143695
119	16150	125529	11.40	141679
120	15749	124048	11.27	139797
121	15644	122674	11.31	138318
122	15458	120736	11.35	136194
123	15284	119148	11.37	134432
124	15145	117979	11.38	133124
125	14952	116358	11.39	131310
126	14560	114633	11.27	129193
127	14345	113568	11.21	127913
128	14231	112581	11.22	126812
129	13965	110947	11.18	124912
130	13976	109338	11.33	123314
131	13556	107562	11.19	121118

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	10942	761002	1.42	771944
2	9918	756881	1.29	766799
3	7283	744370	0.97	751653
4	6465	739449	0.87	745914
5	5928	733854	0.80	739782
6	5507	726795	0.75	732302
7	5063	718619	0.70	723682
8	4798	714622	0.67	719420
9	4624	709622	0.65	714246
10	4750	704011	0.67	708761
11	4396	703939	0.62	708335
12	4325	697827	0.62	702152
13	4240	693480	0.61	697720
14	4080	688288	0.59	692368
15	4196	682089	0.61	686285
16	4179	675057	0.62	679236
17	3995	672601	0.59	676596
18	3994	669137	0.59	673131
19	3828	662077	0.57	665905
20	3809	654997	0.58	658806
21	3815	648343	0.58	652158
22	3764	642348	0.58	646112
23	3634	638042	0.57	641676
24	3606	630188	0.57	633794
25	3555	622706	0.57	626261
26	3747	618319	0.60	622066
27	3557	612339	0.58	615896
28	3631	604931	0.60	608562
29	3535	599159	0.59	602694
30	3510	591717	0.59	595227
31	3586	585801	0.61	589387
32	3332	578713	0.57	582045
33	3438	571042	0.60	574480
34	3631	565172	0.64	568803
35	3341	561088	0.59	564429
36	3198	553431	0.57	556629
37	3163	547392	0.57	550555
38	3087	540584	0.57	543671
39	3297	534242	0.61	537539
40	3076	528947	0.58	532023
41	3047	521728	0.58	524775
42	3184	513777	0.62	516961
43	3188	510441	0.62	513629
44	2874	502719	0.57	505593
45	2960	496387	0.59	499347
46	2801	494186	0.56	496987
47	2935	485084	0.60	488019
48	2797	480443	0.58	483240
49	2758	474912	0.58	477670
50	2648	468080	0.56	470728
51	2645	462492	0.57	465137
52	2847	457318	0.62	460165
53	2860	450883	0.63	453743
54	2553	444971	0.57	447524
55	2704	441235	0.61	443939
56	2536	435999	0.58	438535
57	2532	431334	0.58	433866
58	2470	424674	0.58	427144
59	2369	420015	0.56	422384
60	2318	414169	0.56	416487
61	2287	409718	0.56	412005
62	2325	404076	0.57	406401
63	2300	397236	0.58	399536
64	2349	393868	0.59	396217
65	2232	386336	0.57	388568
66	2287	382895	0.59	385182
67	2237	379233	0.59	381470
68	2185	373658	0.58	375843
69	2120	369475	0.57	371595
70	2159	366527	0.59	368686
71	2144	360770	0.59	362914
72	2027	355952	0.57	357979
73	2228	351864	0.63	354092
74	2136	347572	0.61	349708
75	2187	341227	0.64	343414
76	2106	336723	0.62	338829
77	1959	332585	0.59	334544
78	1942	328815	0.59	330757
79	1945	325790	0.59	327735
80	1904	321397	0.59	323301
81	1947	317030	0.61	318977
82	1859	314202	0.59	316061
83	1841	308571	0.59	310412
84	1711	305270	0.56	306981
85	1752	302713	0.58	304465
86	1655	297635	0.55	299290
87	1739	293155	0.59	294894
88	1746	290756	0.60	292502
89	1680	286408	0.58	288088
90	1673	283281	0.59	284954
91	1658	278877	0.59	280535
92	1618	276090	0.58	277708
93	1693	273770	0.61	275463
94	1658	269241	0.61	270899
95	1614	265385	0.60	266999
96	1543	261888	0.59	263431
97	1559	259088	0.60	260647
98	1489	255535	0.58	257024
99	1598	251662	0.63	253260
100	1504	249461	0.60	250965
101	1378	246489	0.56	247867
102	1486	242868	0.61	244354
103	1425	240064	0.59	241489
104	1465	236755	0.61	238220
105	1458	233910	0.62	235368
106	1409	230535	0.61	231944
107	1369	228292	0.60	229661
108	1308	224344	0.58	225652
109	1417	221516	0.64	222933
110	1345	219988	0.61	221333
111	1305	216352	0.60	217657
112	1306	213181	0.61	214487
113	1274	211204	0.60	212478
114	1257	208297	0.60	209554
115	1278	205116	0.62	206394
116	1272	201648	0.63	202920
117	1199	199766	0.60	200965
118	1201	198460	0.60	199661
119	1170	194542	0.60	195712
120	1205	191425	0.63	192630
121	1153	190304	0.60	191457
122	1229	187860	0.65	189089
123	1176	185627	0.63	186803
124	1090	182275	0.59	183365
125	1108	179994	0.61	181102
126	1086	177987	0.61	179073
127	1150	175663	0.65	176813
128	1110	174225	0.63	175335
129	1031	171325	0.60	172356
130	1222	170528	0.71	171750
131	1099	166606	0.66	167705

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	46383	3527085	1.30	3573468
2	41819	3508005	1.18	3549824
3	38822	3477415	1.10	3516237
4	35592	3446681	1.02	3482273
5	32356	3404255	0.94	3436611
6	30099	3365288	0.89	3395387
7	28388	3328644	0.85	3357032
8	27043	3301015	0.81	3328058
9	26028	3273479	0.79	3299507
10	25846	3244251	0.79	3270097
11	24536	3221917	0.76	3246453
12	23393	3192902	0.73	3216295
13	22900	3163790	0.72	3186690
14	22332	3131852	0.71	3154184
15	22546	3102303	0.72	3124849
