Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
239M_2 - illumina_universal_adapter	(1, 0.1026017310847523)	(2, 0.10513336000500444)	(3, 0.13040247599783156)	(4, 0.13158920595935272)	(5, 0.14202373495071707)	(6, 0.1533434553475185)	(7, 0.1588876949339238)	(8, 0.16178283505828958)	(9, 0.16361519051719328)	(10, 0.17021611000074727)	(15, 0.1845924693927497)	(20, 0.20221952541512636)	(25, 0.22056083933016596)	(30, 0.23478346955645923)	(35, 0.2471578349276383)	(40, 0.2607185602743801)	(45, 0.2766111221238459)	(50, 0.29535738567033837)	(55, 0.3173402863807863)	(60, 0.34368217665995193)	(65, 0.3758043575669727)	(70, 0.4162114490471386)	(75, 0.4672759860585961)	(80, 0.533401356485069)	(85, 0.6192704726018414)	(90, 0.7340795203975617)	(95, 0.8891724543493057)	(100, 1.101265610042884)	(105, 1.3895716183253342)	(110, 1.778533786530367)	(115, 2.3001133516731054)	(120, 2.9902500097791913)	(125, 3.879497571278049)	(130, 5.002938659722721)	(135, 6.3888866355716285)	(140, 7.339591824645969)
239M_2 - polya	(1, 0.0005068807629880033)	(2, 0.0016057390593926526)	(3, 0.00748204104344883)	(4, 0.026023887347933344)	(5, 0.057887078084084324)	(6, 0.08912499255056397)	(7, 0.12359935918801994)	(8, 0.15905326365030126)	(9, 0.19591773957892694)	(10, 0.314196885678344)	(15, 0.5130008857186354)	(20, 0.7034247038014975)	(25, 0.8888446467901762)	(30, 1.0737941526327677)	(35, 1.2584115960777085)	(40, 1.443614357308815)	(45, 1.6277665434110862)	(50, 1.8112882734402684)	(55, 1.9946860581733918)	(60, 2.1775031499448287)	(65, 2.360056996706875)	(70, 2.5431994911287124)	(75, 2.7264317071454585)	(80, 2.9084074508475273)	(85, 3.087504703793358)	(90, 3.2667736302238795)	(95, 3.447450538219036)	(100, 3.6300389786681913)	(105, 3.8113457877574994)	(110, 3.990758453732854)	(115, 4.169174377536317)	(120, 4.34641707586574)	(125, 4.521230261399427)	(130, 4.693965420797841)	(135, 4.865917134929374)	(140, 4.969904833414239)
239M_2 - polyg	(1, 0.065803852628636)	(2, 0.06737444302198205)	(3, 0.06760568424597292)	(4, 0.06779160219006158)	(5, 0.06794144650320767)	(6, 0.06807464144822642)	(7, 0.06822263583158057)	(8, 0.06839097944264594)	(9, 0.06851584970360101)	(10, 0.0689446634293697)	(15, 0.06943452483827198)	(20, 0.06973513842946011)	(25, 0.06995749999044973)	(30, 0.07024201919244812)	(35, 0.07068896223017768)	(40, 0.07135937678677204)	(45, 0.0722423482764588)	(50, 0.07337765018976442)	(55, 0.074883493040393)	(60, 0.07646999282994962)	(65, 0.07816249359658364)	(70, 0.08018502183809746)	(75, 0.14663468495709517)	(80, 0.2370461186849652)	(85, 0.2610437779318009)	(90, 0.2728289406642511)	(95, 0.2861604597097732)	(100, 0.3056076616544268)	(105, 0.3289256566957085)	(110, 0.3475265157605555)	(115, 0.3658273162131519)	(120, 0.3850467918004193)	(125, 0.40682139041629634)	(130, 0.4318339211469831)	(135, 0.4611286693600226)	(140, 0.48104649344374245)
240M_1 - illumina_universal_adapter	(1, 0.06889473882562018)	(2, 0.07035318119380704)	(3, 0.08598709593690383)	(4, 0.08694621101869364)	(5, 0.0956912167290999)	(6, 0.10604152577428039)	(7, 0.1107828755955664)	(8, 0.11281294603370103)	(9, 0.11417649362347758)	(10, 0.11756175187329072)	(15, 0.12234851562424451)	(20, 0.12789669700196665)	(25, 0.13562135790451363)	(30, 0.1450403424815816)	(35, 0.1548425212114683)	(40, 0.16575926170777883)	(45, 0.17811727313618295)	(50, 0.19246649333156318)	(55, 0.20926173941044315)	(60, 0.22918444625778828)	(65, 0.2530226924143012)	(70, 0.28265381291286573)	(75, 0.3203369812994927)	(80, 0.3692956828208006)	(85, 0.4347220174955243)	(90, 0.5238072020075759)	(95, 0.6453021165060249)	(100, 0.8141917762016007)	(105, 1.047300573426552)	(110, 1.3721615503167814)	(115, 1.8150311882986245)	(120, 2.416415323536517)	(125, 3.212709266710089)	(130, 4.256378985162704)	(135, 5.5755334419592355)	(140, 6.492195763047557)
240M_1 - polya	(1, 0.007024473001848099)	(2, 0.01061804788426669)	(3, 0.013386941954310063)	(4, 0.01714093420023178)	(5, 0.021401031931008424)	(6, 0.02592999820061425)	(7, 0.030501893060453308)	(8, 0.03441178387090623)	(9, 0.03833410137853193)	(10, 0.04935341861150502)	(15, 0.06705423200435756)	(20, 0.08377582165999525)	(25, 0.09980083845411164)	(30, 0.11513651246506178)	(35, 0.12925211075359377)	(40, 0.14392171379608304)	(45, 0.1580519981812738)	(50, 0.17219041640461397)	(55, 0.18532091651726762)	(60, 0.19804743600183175)	(65, 0.21100215483447773)	(70, 0.22452624233758556)	(75, 0.2359847868306292)	(80, 0.2473430139864962)	(85, 0.25858827116806526)	(90, 0.2697499305686538)	(95, 0.2803166900845892)	(100, 0.29158725254040097)	(105, 0.3040238910709165)	(110, 0.3166918921087943)	(115, 0.3292263626370518)	(120, 0.34158482594535305)	(125, 0.3536805210934373)	(130, 0.3660360471824068)	(135, 0.3774518890251658)	(140, 0.38397251594164494)
240M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0007376939321657781)	(4, 0.0012178163229321728)	(5, 0.0016527507239793772)	(6, 0.00209559302322744)	(7, 0.00255199171939126)	(8, 0.0030614863034751283)	(9, 0.0035416086942415227)	(10, 0.005021515357544998)	(15, 0.008088198279837833)	(20, 0.011427816660034576)	(25, 0.01420326298858723)	(30, 0.017121503364652527)	(35, 0.020128990020413223)	(40, 0.0233829771600921)	(45, 0.03232884348480016)	(50, 0.04504700319126621)	(55, 0.05056581237567089)	(60, 0.055106301582655115)	(65, 0.06905922310819804)	(70, 0.10726499059592746)	(75, 0.14350191737159176)	(80, 0.15855629614653996)	(85, 0.1684066000854776)	(90, 0.17954408391156637)	(95, 0.19281353709260657)	(100, 0.20780081170282175)	(105, 0.22358881749086099)	(110, 0.24071596935422837)	(115, 0.25887137392365595)	(120, 0.2797193048605015)	(125, 0.3048271075881751)	(130, 0.3353319378679601)	(135, 0.37263688278063756)	(140, 0.39831292447902994)
240M_2 - illumina_universal_adapter	(1, 0.05120590025004322)	(2, 0.052668861417202)	(3, 0.06822708627751915)	(4, 0.06918620135930896)	(5, 0.07786229538539345)	(6, 0.08817984313802753)	(7, 0.09293700875571527)	(8, 0.09498402468999458)	(9, 0.09638146327206053)	(10, 0.10073193698227556)	(15, 0.109611602902045)	(20, 0.1220645091088594)	(25, 0.13556871389649078)	(30, 0.1458894248084052)	(35, 0.1554469105739625)	(40, 0.1662253758217323)	(45, 0.17861050004396792)	(50, 0.19291340254988595)	(55, 0.2096044903124632)	(60, 0.22944133997934185)	(65, 0.25313182140947305)	(70, 0.2825410688785163)	(75, 0.3199119882561837)	(80, 0.3683541910550013)	(85, 0.43246081048997603)	(90, 0.5194255485844547)	(95, 0.638654963218332)	(100, 0.8052474914565326)	(105, 1.0353485760857748)	(110, 1.3557006953618234)	(115, 1.792882972957609)	(120, 2.386575886405347)	(125, 3.1737353033971334)	(130, 4.207214000468328)	(135, 5.515746342461518)	(140, 6.425782974557264)
240M_2 - polya	(1, 0.0004981975866540706)	(2, 0.0018764312730893682)	(3, 0.008052499767959673)	(4, 0.026096064062832273)	(5, 0.0560613497453702)	(6, 0.08718570736420535)	(7, 0.12143255507263653)	(8, 0.15709039776004943)	(9, 0.19369605853182234)	(10, 0.31113467313312826)	(15, 0.5089389977502707)	(20, 0.7025905461122197)	(25, 0.8925111481030037)	(30, 1.0791206001471139)	(35, 1.2634089710992982)	(40, 1.4471401741382448)	(45, 1.6282900132644826)	(50, 1.8062132039848215)	(55, 1.9826582955614458)	(60, 2.156767619949485)	(65, 2.3282540074742744)	(70, 2.498608209916649)	(75, 2.6677534076940868)	(80, 2.8346904943538958)	(85, 2.998198264473916)	(90, 3.1595123836330186)	(95, 3.3217786137355043)	(100, 3.4861689052947398)	(105, 3.650714417598661)	(110, 3.8151679723435046)	(115, 3.9810379446260953)	(120, 4.147803768804868)	(125, 4.313359684558911)	(130, 4.477296514641315)	(135, 4.6408029291216435)	(140, 4.740627943150256)
240M_2 - polyg	(1, 0.06508200219306352)	(2, 0.0666398581386326)	(3, 0.06685224169031279)	(4, 0.06699571355767121)	(5, 0.06712223992888496)	(6, 0.06726910089547232)	(7, 0.06739788666617201)	(8, 0.06757863862504877)	(9, 0.06769838679780463)	(10, 0.06809807456687086)	(15, 0.06852916798879194)	(20, 0.06880210344669584)	(25, 0.06907142386542223)	(30, 0.06952330376261412)	(35, 0.07024518189837817)	(40, 0.07141803617153977)	(45, 0.07305000042024831)	(50, 0.07505838062331771)	(55, 0.07749762830835957)	(60, 0.08014858172523588)	(65, 0.08304106494716124)	(70, 0.0861222080261642)	(75, 0.12248792057252822)	(80, 0.177343880692139)	(85, 0.1971014254370605)	(90, 0.20676826613773827)	(95, 0.2171352947391148)	(100, 0.2301844564702739)	(105, 0.24512902843020448)	(110, 0.25927874365097453)	(115, 0.2745934052467052)	(120, 0.2910992222514338)	(125, 0.3095420224354754)	(130, 0.33046586919504917)	(135, 0.3543375544639543)	(140, 0.3701382128891149)
241M_1 - illumina_universal_adapter	(1, 0.08394574159652428)	(2, 0.0855572113097378)	(3, 0.10060946404791545)	(4, 0.10139624719371107)	(5, 0.10764571740724975)	(6, 0.11477385784930473)	(7, 0.11815874825902693)	(8, 0.11993676330967164)	(9, 0.12103136818258148)	(10, 0.12393913491527667)	(15, 0.1282049927305832)	(20, 0.13321904111694263)	(25, 0.14076963242180582)	(30, 0.14979547083974917)	(35, 0.1582235837845946)	(40, 0.16724436841298834)	(45, 0.17770732080468274)	(50, 0.19037188769836413)	(55, 0.2054441258770335)	(60, 0.22367245562945062)	(65, 0.2461799668241688)	(70, 0.27458961505974155)	(75, 0.31036332382225457)	(80, 0.3573796468733467)	(85, 0.4196331454165919)	(90, 0.5042386362670505)	(95, 0.6190304120974858)	(100, 0.7773890698936798)	(105, 0.993872509888773)	(110, 1.2909037071613807)	(115, 1.6949279938362145)	(120, 2.2408877302948724)	(125, 2.9634073476127396)	(130, 3.9106172997188944)	(135, 5.117641883418722)	(140, 5.9567949234224535)
241M_1 - polya	(1, 0.004851637967650693)	(2, 0.007228067644513687)	(3, 0.009877861392470634)	(4, 0.013068640339945451)	(5, 0.016761352476781857)	(6, 0.021159297973499306)	(7, 0.0259133059157593)	(8, 0.03020328409027998)	(9, 0.03380410914439572)	(10, 0.04401781782421036)	(15, 0.06141342088947156)	(20, 0.0782009611848288)	(25, 0.09260426140129178)	(30, 0.10627774846324597)	(35, 0.12002704236844468)	(40, 0.13389142484475103)	(45, 0.14755756094008757)	(50, 0.16036799857758796)	(55, 0.1721738806832448)	(60, 0.183331958855721)	(65, 0.19474341565879935)	(70, 0.20657364784137716)	(75, 0.2159599133412923)	(80, 0.2249283223325352)	(85, 0.23418778365829582)	(90, 0.24350857961177247)	(95, 0.25308160560731735)	(100, 0.26325143820513286)	(105, 0.2743608162237671)	(110, 0.2853346607953884)	(115, 0.2958892705520967)	(120, 0.3062796321484417)	(125, 0.31688914443707555)	(130, 0.3279930092307466)	(135, 0.3383652231282544)	(140, 0.3446064235043482)
241M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.000446800939729195)	(4, 0.000694896063074969)	(5, 0.0009165736501385543)	(6, 0.0011646687734843282)	(7, 0.0014311413133742338)	(8, 0.00169072232206009)	(9, 0.0019181428517937164)	(10, 0.0027249114380810853)	(15, 0.004561504503960218)	(20, 0.00653500932309313)	(25, 0.008170369677814024)	(30, 0.00999731460000749)	(35, 0.011799220292159573)	(40, 0.013799142647574675)	(45, 0.01592311256466266)	(50, 0.01821523584312945)	(55, 0.020230549284900264)	(60, 0.022476499304299926)	(65, 0.026103282459284262)	(70, 0.06779980285626402)	(75, 0.12315579753508307)	(80, 0.13749293905198717)	(85, 0.14466403670521405)	(90, 0.15309306852088675)	(95, 0.1644296373515478)	(100, 0.1776981320964107)	(105, 0.19047434179559766)	(110, 0.2031140991769444)	(115, 0.21588043101473894)	(120, 0.230465437937282)	(125, 0.24740068671811272)	(130, 0.2674180579711011)	(135, 0.29118511135221264)	(140, 0.30762072412074976)
241M_2 - illumina_universal_adapter	(1, 0.06331134858306672)	(2, 0.06492166970774624)	(3, 0.07990270995681537)	(4, 0.08069638463381504)	(5, 0.08691714013400352)	(6, 0.0940441319875245)	(7, 0.09746577723033496)	(8, 0.09927939852553393)	(9, 0.10048656507477656)	(10, 0.10469568261650306)	(15, 0.1139994794596764)	(20, 0.12671297622490652)	(25, 0.1403724505067458)	(30, 0.14995259775120146)	(35, 0.1579412607229354)	(40, 0.166721301194601)	(45, 0.1771539308489976)	(50, 0.1896845723196136)	(55, 0.20461438552006594)	(60, 0.222661008566403)	(65, 0.24491537084822573)	(70, 0.2729937661505905)	(75, 0.308384765213572)	(80, 0.35475466263772437)	(85, 0.4156234228443692)	(90, 0.49820211436771694)	(95, 0.6106220548754253)	(100, 0.7663451614214839)	(105, 0.9795672991331144)	(110, 1.271639120833581)	(115, 1.6695412009044446)	(120, 2.207518936204866)	(125, 2.920090398511981)	(130, 3.855782534516808)	(135, 5.050279003640796)	(140, 5.881305090613298)
241M_2 - polya	(1, 0.0004111946951749404)	(2, 0.001362226001333741)	(3, 0.006216161146052451)	(4, 0.020972078042455967)	(5, 0.046018199615039064)	(6, 0.07161104932981008)	(7, 0.10041650117420206)	(8, 0.1315076442012704)	(9, 0.16431248132107898)	(10, 0.27477545668454406)	(15, 0.47186750617768347)	(20, 0.6686850430111948)	(25, 0.8597150719395458)	(30, 1.047866738001672)	(35, 1.2362113669375114)	(40, 1.421438726592053)	(45, 1.6027209143499828)	(50, 1.7813043784884068)	(55, 1.9587137554273681)	(60, 2.135251353669017)	(65, 2.3096796839268126)	(70, 2.4827595712456834)	(75, 2.6543302132308666)	(80, 2.8223266774159237)	(85, 2.9889604561642336)	(90, 3.1568563039937114)	(95, 3.3254661144559288)	(100, 3.4951742052743646)	(105, 3.6652921124817346)	(110, 3.8365820394292065)	(115, 4.010962358686281)	(120, 4.1865227378031955)	(125, 4.360909718873767)	(130, 4.535558348412385)	(135, 4.7109241566316395)	(140, 4.817753457308917)
241M_2 - polyg	(1, 0.06113707048818918)	(2, 0.06264287005627395)	(3, 0.06282664422171526)	(4, 0.06301730991836063)	(5, 0.0631551405424416)	(6, 0.06329871410919263)	(7, 0.06341127578552544)	(8, 0.06354221487840238)	(9, 0.06366281667447324)	(10, 0.06400027198576486)	(15, 0.06438849491025962)	(20, 0.06460603757860078)	(25, 0.06479555468671214)	(30, 0.06506547299220407)	(35, 0.06552513812351415)	(40, 0.06622393938760475)	(45, 0.06719151036865327)	(50, 0.06838581272631501)	(55, 0.06981833234593006)	(60, 0.07142382939876674)	(65, 0.07324640968453097)	(70, 0.07516455253632469)	(75, 0.12057606768770061)	(80, 0.1741868969479476)	(85, 0.1885621716041808)	(90, 0.19615686870874988)	(95, 0.20498216356865537)	(100, 0.21738048764015366)	(105, 0.2315554484560558)	(110, 0.24344127232367957)	(115, 0.255640201425674)	(120, 0.2689948403105875)	(125, 0.2843011608324878)	(130, 0.3020574206974275)	(135, 0.3228797227950489)	(140, 0.3369131775035612)
242M_1 - illumina_universal_adapter	(1, 0.07418850625312177)	(2, 0.07550196461109973)	(3, 0.08638523447904693)	(4, 0.08696707348850208)	(5, 0.09143859268789897)	(6, 0.09670279552790012)	(7, 0.09948986199101299)	(8, 0.10078373368926673)	(9, 0.10167435062849213)	(10, 0.10395446825168371)	(15, 0.10726507460766077)	(20, 0.111172037144418)	(25, 0.11737985612054543)	(30, 0.12495828041478738)	(35, 0.13232678180304375)	(40, 0.14047874958026943)	(45, 0.15013704670593397)	(50, 0.16217132087179348)	(55, 0.17675900417182028)	(60, 0.1949476372543245)	(65, 0.21762783705853167)	(70, 0.24694975795958066)	(75, 0.2850838322862075)	(80, 0.3360550033960964)	(85, 0.4051242480911763)	(90, 0.5029391050288312)	(95, 0.6363263316324739)	(100, 0.8277246357134767)	(105, 1.094666382037936)	(110, 1.4739148091830738)	(115, 1.9969986785226332)	(120, 2.73576208835639)	(125, 3.7388221237266714)	(130, 5.147907393535443)	(135, 6.969810551375072)	(140, 8.199847942999778)
242M_1 - polya	(1, 0.006244687982667143)	(2, 0.009721896161945636)	(3, 0.012565418291322484)	(4, 0.016124429578861007)	(5, 0.020541797424902673)	(6, 0.024946491549946305)	(7, 0.029498661701148867)	(8, 0.03346553637353318)	(9, 0.037093677048333704)	(10, 0.04711674690745078)	(15, 0.06278653554941871)	(20, 0.07770534861443047)	(25, 0.08983640392245675)	(30, 0.10102107791886623)	(35, 0.11188084379514437)	(40, 0.1226896843561395)	(45, 0.1329878891765593)	(50, 0.14277637998156734)	(55, 0.1518217298735089)	(60, 0.1603691177458732)	(65, 0.1690692815640865)	(70, 0.17808605797595975)	(75, 0.18554903619347418)	(80, 0.1932000463443412)	(85, 0.20096949817871718)	(90, 0.20925534653594022)	(95, 0.21761746765044238)	(100, 0.22703381192069)	(105, 0.23811363967975213)	(110, 0.24999006841136334)	(115, 0.2609484588801353)	(120, 0.2718093769128678)	(125, 0.28247926740546625)	(130, 0.2930383204471547)	(135, 0.3025525980160234)	(140, 0.30854980279229266)
242M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0006290774240841808)	(4, 0.0010277235572950353)	(5, 0.0014367390985951895)	(6, 0.0018031248510837782)	(7, 0.0022409443037430983)	(8, 0.0027905229324759816)	(9, 0.003270972173946867)	(10, 0.004690428925726557)	(15, 0.0075701287677705145)	(20, 0.010577487544958296)	(25, 0.013185739326353477)	(30, 0.0161288077733876)	(35, 0.019173496419696862)	(40, 0.022706699402657574)	(45, 0.026200498634878944)	(50, 0.029971967572602676)	(55, 0.033148462917291475)	(60, 0.03700012194423913)	(65, 0.04220487351119495)	(70, 0.08112057077646405)	(75, 0.12563966574189983)	(80, 0.13851040549362945)	(85, 0.145853098577308)	(90, 0.15457538379944516)	(95, 0.16567502864952238)	(100, 0.17880339058444844)	(105, 0.1911752465914373)	(110, 0.203652870560937)	(115, 0.21618372415862855)	(120, 0.23088086232182015)	(125, 0.24782170996424532)	(130, 0.26851397902208834)	(135, 0.2932834993406439)	(140, 0.3104024703709142)
242M_2 - illumina_universal_adapter	(1, 0.05417094001495591)	(2, 0.05548785484229697)	(3, 0.06629393022780161)	(4, 0.0668815300195286)	(5, 0.07131848452529449)	(6, 0.07655849207975393)	(7, 0.07938357970586091)	(8, 0.0807027988461107)	(9, 0.08167752320650487)	(10, 0.08506878051428761)	(15, 0.09285390167644295)	(20, 0.1044277741231375)	(25, 0.11725173632281985)	(30, 0.1259154919970752)	(35, 0.13303328414086138)	(40, 0.14102625432738441)	(45, 0.15064906503425451)	(50, 0.16258632762665634)	(55, 0.17694542308613678)	(60, 0.19488611209966136)	(65, 0.21728841176707525)	(70, 0.24625062942307102)	(75, 0.2839084022714626)	(80, 0.3341283673731045)	(85, 0.40163874438542635)	(90, 0.49720343976770315)	(95, 0.6280252748100532)	(100, 0.8167551845427428)	(105, 1.0802731827474064)	(110, 1.4541232960412551)	(115, 1.9704041423803609)	(120, 2.699949609285312)	(125, 3.692039732622278)	(130, 5.088270392869681)	(135, 6.895975757153441)	(140, 8.117480278077108)
242M_2 - polya	(1, 0.00043781945265931996)	(2, 0.001538128866579453)	(3, 0.006941742637558954)	(4, 0.022825371517457338)	(5, 0.04954503185067389)	(6, 0.07661494774601789)	(7, 0.10832690199600506)	(8, 0.14314507004696467)	(9, 0.17980784058136523)	(10, 0.30612935251295925)	(15, 0.5224960391165412)	(20, 0.7265570034936149)	(25, 0.9217419849775389)	(30, 1.1119692372383234)	(35, 1.2980130094133024)	(40, 1.4792716454020063)	(45, 1.6547844771527835)	(50, 1.8257398388326682)	(55, 1.9964788255304229)	(60, 2.1631444782994094)	(65, 2.326279923692217)	(70, 2.4866707019794325)	(75, 2.645718065840856)	(80, 2.801581790987574)	(85, 2.9567530701052176)	(90, 3.1126965244785776)	(95, 3.2690305598899685)	(100, 3.4269732361429455)	(105, 3.5871335831392868)	(110, 3.7489463529224816)	(115, 3.914513539727875)	(120, 4.082868945152836)	(125, 4.250975254352364)	(130, 4.41713925820112)	(135, 4.582927428614459)	(140, 4.682716390421026)
242M_2 - polyg	(1, 0.0645818257366128)	(2, 0.06597708720285078)	(3, 0.06616258439200381)	(4, 0.06634462511179375)	(5, 0.0664632972265935)	(6, 0.0665704477768496)	(7, 0.06669718498682993)	(8, 0.0668331394484452)	(9, 0.06693798568579255)	(10, 0.06731197567087996)	(15, 0.06768988298791222)	(20, 0.0679016493442248)	(25, 0.06810327672373898)	(30, 0.06841159379092748)	(35, 0.06897661131614888)	(40, 0.06985063720243141)	(45, 0.07107100131889653)	(50, 0.07268540294275505)	(55, 0.07470812881404112)	(60, 0.0770744277400193)	(65, 0.07982393390271983)	(70, 0.08274672439615711)	(75, 0.1181766875243854)	(80, 0.16451688098159306)	(85, 0.1782040387968869)	(90, 0.18596312122317354)	(95, 0.19464577226328048)	(100, 0.20616388033758368)	(105, 0.2196189938429681)	(110, 0.2315855212093108)	(115, 0.24409079693371533)	(120, 0.2576184962957248)	(125, 0.27343046104416163)	(130, 0.29179399147643875)	(135, 0.31367159909453407)	(140, 0.32858580353372835)
269M_1 - illumina_universal_adapter	(1, 0.1082521670586631)	(2, 0.11064272028504714)	(3, 0.13532345566498954)	(4, 0.13656872875574932)	(5, 0.1470576804929022)	(6, 0.15862490677718644)	(7, 0.16410493306069548)	(8, 0.1666088803599136)	(9, 0.1683561799367661)	(10, 0.17300719246233726)	(15, 0.1796419827493803)	(20, 0.18717980219826574)	(25, 0.19822850831313596)	(30, 0.2114461337847599)	(35, 0.22353291109366585)	(40, 0.23608810900889726)	(45, 0.2502267005229755)	(50, 0.26660492806104774)	(55, 0.28547267092543194)	(60, 0.3079057296107613)	(65, 0.3351772102984002)	(70, 0.3687389694627082)	(75, 0.4105741663520325)	(80, 0.4645695374410426)	(85, 0.5358729674653644)	(90, 0.6318655858823308)	(95, 0.7626000865052456)	(100, 0.941594279842181)	(105, 1.1873196480157264)	(110, 1.5225506689559625)	(115, 1.9749357040144204)	(120, 2.575965318072333)	(125, 3.35881552427533)	(130, 4.360101887254665)	(135, 5.608808550539852)	(140, 6.471319329935043)
269M_1 - polya	(1, 0.005931540864430232)	(2, 0.00807881226182477)	(3, 0.010203404844652491)	(4, 0.012848579307309422)	(5, 0.015557666792836471)	(6, 0.018637862153093255)	(7, 0.02227884274627497)	(8, 0.025542530333481455)	(9, 0.028585614906265263)	(10, 0.03741488975921016)	(15, 0.051276181222448716)	(20, 0.06438206198957076)	(25, 0.07715786291922484)	(30, 0.08972316321549058)	(35, 0.10212538221791671)	(40, 0.11456924777072923)	(45, 0.12699744432438648)	(50, 0.13930668018708867)	(55, 0.1514101573503574)	(60, 0.16327468227650846)	(65, 0.17534743995459123)	(70, 0.18804654525680115)	(75, 0.19943687678746427)	(80, 0.21065484932741954)	(85, 0.22169737031104425)	(90, 0.23272587166384584)	(95, 0.2437535483324814)	(100, 0.2548876092585394)	(105, 0.26595445842506316)	(110, 0.27694007620122935)	(115, 0.2876119016522073)	(120, 0.29809260654769953)	(125, 0.30872154842204214)	(130, 0.3191717400033899)	(135, 0.3292071154492064)	(140, 0.3351207194330247)
269M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0008030362067068388)	(4, 0.0011617738189455807)	(5, 0.0014803080780886014)	(6, 0.0017823486539103007)	(7, 0.0021215000172049732)	(8, 0.0024348800003100813)	(9, 0.002723519458433207)	(10, 0.0037335513908226302)	(15, 0.005749285663729629)	(20, 0.007814913328683625)	(25, 0.009731273159579664)	(30, 0.011759996208102204)	(35, 0.013748309732487507)	(40, 0.0158364100409668)	(45, 0.018442824347818628)	(50, 0.021106141862129012)	(55, 0.023259598390769045)	(60, 0.02559613480427575)	(65, 0.03193012154174622)	(70, 0.09159746415391723)	(75, 0.16491539142489695)	(80, 0.18504304552398854)	(85, 0.19480400731354658)	(90, 0.20635247203305282)	(95, 0.22186251331529902)	(100, 0.23977094232350682)	(105, 0.25708930981089434)	(110, 0.27402131276647995)	(115, 0.290884454594199)	(120, 0.30938418214947616)	(125, 0.33048475739348426)	(130, 0.3551586891290567)	(135, 0.3843473543317577)	(140, 0.4042797644545332)
269M_2 - illumina_universal_adapter	(1, 0.08264881626793427)	(2, 0.0850043204172605)	(3, 0.1095015635702532)	(4, 0.11071694185999308)	(5, 0.12113064116699242)	(6, 0.1326782812023326)	(7, 0.13812738182961418)	(8, 0.1406323599840399)	(9, 0.14247862166082031)	(10, 0.1485685018851352)	(15, 0.16101669702981958)	(20, 0.17714978719952865)	(25, 0.19392448165043713)	(30, 0.20678419419398844)	(35, 0.2179730966170899)	(40, 0.23015842368384068)	(45, 0.2442832017381374)	(50, 0.2605622610052401)	(55, 0.27929393098222344)	(60, 0.3015775156624532)	(65, 0.3286343722958735)	(70, 0.36196274584118476)	(75, 0.4034596160513805)	(80, 0.4568653379616533)	(85, 0.526975656168719)	(90, 0.6210224322958525)	(95, 0.7495888382461796)	(100, 0.926215157171298)	(105, 1.1687034338219924)	(110, 1.4995978530749698)	(115, 1.946333801595875)	(120, 2.540171551212567)	(125, 3.3152311722697805)	(130, 4.306682970397735)	(135, 5.544963564113431)	(140, 6.400957276886286)
269M_2 - polya	(1, 0.0003906941236738022)	(2, 0.00138031512295309)	(3, 0.0065314985952433)	(4, 0.023411752619408237)	(5, 0.052980803393707296)	(6, 0.08277354974805178)	(7, 0.11586915618749087)	(8, 0.15076669752978433)	(9, 0.18705486254710674)	(10, 0.30668705258435713)	(15, 0.5083072807014812)	(20, 0.7021012560826384)	(25, 0.8899760608618564)	(30, 1.0758186376848458)	(35, 1.262229009556172)	(40, 1.4472644267516244)	(45, 1.6309708654134614)	(50, 1.8140189999397365)	(55, 1.9968358105574293)	(60, 2.178485280738056)	(65, 2.359028437109905)	(70, 2.539580665007581)	(75, 2.720586675367634)	(80, 2.899843530611462)	(85, 3.078141071999113)	(90, 3.2561190482724136)	(95, 3.4343318533620013)	(100, 3.6139014700758096)	(105, 3.7928812314398384)	(110, 3.9713703057250584)	(115, 4.149214476992415)	(120, 4.3268592808626245)	(125, 4.5030285185887005)	(130, 4.678490383471334)	(135, 4.85288696258245)	(140, 4.958563022477365)
269M_2 - polyg	(1, 0.06252755347112968)	(2, 0.06390889944929035)	(3, 0.06410785450435379)	(4, 0.06426042107507601)	(5, 0.06438927797602384)	(6, 0.06449854862802759)	(7, 0.0646222512529375)	(8, 0.06474595387784741)	(9, 0.06483873084652984)	(10, 0.06516881068399778)	(15, 0.06554734071622212)	(20, 0.06577763376959607)	(25, 0.06600978236234367)	(30, 0.06630873037254262)	(35, 0.06682601351570758)	(40, 0.06759482532952267)	(45, 0.0686337212077244)	(50, 0.06994496903176944)	(55, 0.07155516486601346)	(60, 0.07335070846658082)	(65, 0.07529593224328918)	(70, 0.07729929625370519)	(75, 0.1317245339642772)	(80, 0.21197805507187253)	(85, 0.23492530433474407)	(90, 0.24574062483061762)	(95, 0.2576546308067327)	(100, 0.2741384179180613)	(105, 0.29343025461484495)	(110, 0.30969137700133575)	(115, 0.32583003378916586)	(120, 0.3428865640538274)	(125, 0.3621035606625405)	(130, 0.38378244567800246)	(135, 0.4087808906329218)	(140, 0.42562465238273833)
