Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
69M_R2 - illumina_universal_adapter	(1, 0.001208312327569787)	(2, 0.0025815892814212648)	(3, 0.003975219013839964)	(4, 0.005441690269551878)	(5, 0.00666714177907301)	(6, 0.007723343866824614)	(7, 0.008584587759879676)	(8, 0.009278724628909128)	(9, 0.009825036053608233)	(10, 0.010302255151065982)	(12, 0.01065842877599236)	(14, 0.010838390186481476)	(16, 0.014044488410254857)	(18, 0.01825055078100199)	(20, 0.02280528838457179)	(22, 0.027441972701846458)	(24, 0.03258801208273764)	(26, 0.03830714286012691)	(28, 0.0444440411975802)	(30, 0.05082785087502005)	(32, 0.05775850757659498)	(34, 0.06517923776209117)	(36, 0.0732132293017839)	(38, 0.08203830120841837)	(40, 0.09159339514629294)	(42, 0.10183459196165726)	(44, 0.11299701980690632)	(46, 0.12512566903466246)	(48, 0.13839835865767083)	(50, 0.15309842077756464)	(52, 0.15695634351492507)	(54, 0.1570340054331421)	(56, 0.1571100605530512)	(58, 0.15722628563065874)	(60, 0.15736179228796157)	(62, 0.15752354331762736)	(64, 0.15770511152642444)	(66, 0.15792363609630408)	(68, 0.1581689406379827)	(70, 0.15843781155484443)	(72, 0.15874578123053262)	(74, 0.15905375090622087)	(76, 0.15940510413622344)	(78, 0.15974413857919845)	(80, 0.1601297701731037)	(82, 0.16048862179520998)	(84, 0.16090210455978615)	(86, 0.16132040771928619)	(88, 0.1617767384387407)	(90, 0.1622812731074334)	(92, 0.1628854292712183)	(94, 0.16357742374250384)	(96, 0.1643213713590794)	(98, 0.16518582884875033)	(100, 0.16614722983633357)	(102, 0.16723021189588413)	(104, 0.16847119578904868)	(106, 0.1698059095835096)	(108, 0.17129326921722476)	(110, 0.17302968258867035)	(112, 0.1749867629277395)	(114, 0.17712326907786177)	(116, 0.17961541325347447)	(118, 0.18218575494674016)	(120, 0.18420978521530673)
69M_R2 - polya	(1, 0.10768333780255356)	(2, 0.14335533143766124)	(3, 0.17864062227999175)	(4, 0.21371060214905846)	(5, 0.2487570156429421)	(6, 0.2835506262030434)	(7, 0.3186431012484212)	(8, 0.3537195083107197)	(9, 0.3887434266282922)	(10, 0.44167082729235196)	(12, 0.5128793079052645)	(14, 0.5837203673050951)	(16, 0.6543316545468905)	(18, 0.7242707644965316)	(20, 0.7947117311176857)	(22, 0.8652657092198313)	(24, 0.9354827952767457)	(26, 1.0052253402333822)	(28, 1.0744617437230182)	(30, 1.143784914321283)	(32, 1.2133389282764548)	(34, 1.2828083175207419)	(36, 1.3529702368357506)	(38, 1.4229543371380138)	(40, 1.492972180204744)	(42, 1.5628197026508326)	(44, 1.632597061570808)	(46, 1.7016765344257019)	(48, 1.7707217289166932)	(50, 1.8393807562143434)	(52, 1.907766092200208)	(54, 1.9758316753227927)	(56, 2.0437837113649495)	(58, 2.1111856867863557)	(60, 2.1783214692880803)	(62, 2.244978425894039)	(64, 2.3116439520909733)	(66, 2.378557996426202)	(68, 2.4463300710578704)	(70, 2.5140898269025103)	(72, 2.5824724848911953)	(74, 2.6511133018080217)	(76, 2.7196716364117077)	(78, 2.7892208299719563)	(80, 2.858719677185222)	(82, 2.928186924031765)	(84, 2.9971844501729543)	(86, 3.0657824191349023)	(88, 3.1352009264327716)	(90, 3.2036874907120363)	(92, 3.2719474964298816)	(94, 3.3408523638686463)	(96, 3.4100619873864835)	(98, 3.4788377753611766)	(100, 3.548022761304959)	(102, 3.6170384978269716)	(104, 3.6861426082559205)	(106, 3.754988559756727)	(108, 3.82368989940982)	(110, 3.892326431531159)	(112, 3.961148281057347)	(114, 4.029758568806322)	(116, 4.098759844143563)	(118, 4.1671221493536805)	(120, 4.21958732770449)
69M_R2 - polyg	(1, 0.03393022426930231)	(2, 0.03398699780951614)	(3, 0.0340352017587543)	(4, 0.034095188895584)	(5, 0.034138036850462364)	(6, 0.03418838319744444)	(7, 0.03423444474893868)	(8, 0.03429764548238426)	(9, 0.034365131011317676)	(10, 0.03455741120883432)	(12, 0.03473683701988746)	(14, 0.034853597696931)	(16, 0.03499071115254175)	(18, 0.03511443462225302)	(20, 0.03525743967165955)	(22, 0.03541276350809361)	(24, 0.035632894876281185)	(26, 0.03585463304277671)	(28, 0.03608386960137594)	(30, 0.036363452506957245)	(32, 0.03675069089917044)	(34, 0.0372091640163689)	(36, 0.037652640349359945)	(38, 0.03810307947501872)	(40, 0.038533701421546246)	(42, 0.039035022493623076)	(44, 0.03955080475047135)	(46, 0.04011318415824984)	(48, 0.040695380745159576)	(50, 0.041352561253106435)	(52, 0.042118468446557145)	(54, 0.04354102054851874)	(56, 0.08354922721731659)	(58, 0.14040310734654216)	(60, 0.16110670354433032)	(62, 0.17540453048780352)	(64, 0.18267315043348153)	(66, 0.18693170154895464)	(68, 0.19036703633132726)	(70, 0.19366204406147325)	(72, 0.19623506375191885)	(74, 0.19763512067756928)	(76, 0.19879362225759298)	(78, 0.19997890380941563)	(80, 0.20118668053754946)	(82, 0.20239285046737532)	(84, 0.20372809986127224)	(86, 0.20496479895894895)	(88, 0.20617632488313462)	(90, 0.2077788383955853)	(92, 0.21186010609774925)	(94, 0.21745551340542724)	(96, 0.22330318804745158)	(98, 0.2293083289236539)	(100, 0.23570659978586522)	(102, 0.2427759767413588)	(104, 0.25002263711016165)	(106, 0.2577845441363768)	(108, 0.26603384664933327)	(110, 0.27484231497345246)	(112, 0.2842061999126823)	(114, 0.2943311716504391)	(116, 0.30507047594126435)	(118, 0.31665870533811713)	(120, 0.32579978091197953)
70M_R1 - polya	(1, 0.014203235704496293)	(2, 0.016981104929248057)	(3, 0.019769687108973796)	(4, 0.022408287919063883)	(5, 0.02482298797019789)	(6, 0.027245187089813674)	(7, 0.029635247344507537)	(8, 0.03231134349700654)	(9, 0.034789249982486996)	(10, 0.038640021647882376)	(12, 0.0435915494368537)	(14, 0.04841773565262952)	(16, 0.05352352999322609)	(18, 0.058464344827223444)	(20, 0.0635733530543122)	(22, 0.06860683494883445)	(24, 0.07353532988461173)	(26, 0.07834116148593699)	(28, 0.08335910959574697)	(30, 0.0885639987698528)	(32, 0.09338161462164944)	(34, 0.0982351188726089)	(36, 0.10300077689278175)	(38, 0.10776750620845202)	(40, 0.11227176812725988)	(42, 0.1171359853331933)	(44, 0.12177630178017065)	(46, 0.1262944905404447)	(48, 0.13122137853297589)	(50, 0.13603953003252123)	(52, 0.14037934809247857)	(54, 0.14452472601965827)	(56, 0.14877991173532118)	(58, 0.15273459906396414)	(60, 0.15681998444328957)	(62, 0.16098143180293023)	(64, 0.16524250964382886)	(66, 0.16939860052598252)	(68, 0.17356754695410498)	(70, 0.1778200544310244)	(72, 0.18210952160260407)	(74, 0.1862479361090507)	(76, 0.1902524386783226)	(78, 0.19451351651922122)	(80, 0.19892296878650942)	(82, 0.20339294924940055)	(84, 0.20804130041260838)	(86, 0.2127458945894296)	(88, 0.2177509871532708)	(90, 0.2224952192634957)	(92, 0.22712053757350947)	(94, 0.23152034818132108)	(96, 0.23590087547017954)	(98, 0.24020855466521496)	(100, 0.244431601515956)	(102, 0.24872213998303305)	(104, 0.2528771595696893)	(106, 0.2571039559546712)	(108, 0.26137413980729773)	(110, 0.2659062554090379)	(112, 0.2702150058995707)	(114, 0.2742098668093661)	(116, 0.2781490203532968)	(118, 0.2821829835487471)	(120, 0.2852838483659642)
70M_R1 - polyg	(1, 0.0018565550969898985)	(2, 0.0022700751589853404)	(3, 0.0026546702425510496)	(4, 0.0030478356900959383)	(5, 0.0034056483862267093)	(6, 0.003793457356284611)	(7, 0.004172695962363332)	(8, 0.004590501206348364)	(9, 0.004980452767401061)	(10, 0.005644120328038823)	(12, 0.006510798385433415)	(14, 0.007364085249110538)	(16, 0.008240940613730405)	(18, 0.009198143140655089)	(20, 0.010153738724333675)	(22, 0.011127546331468018)	(24, 0.01225401354698151)	(26, 0.016962357258043598)	(28, 0.022756458955718074)	(30, 0.025347387116173972)	(32, 0.027806545930449976)	(34, 0.029074959799368635)	(36, 0.030256063085249398)	(38, 0.031468769588303386)	(40, 0.0327602163104161)	(42, 0.03401470333786859)	(44, 0.03538435463129132)	(46, 0.040181080220888704)	(48, 0.0493358358938992)	(50, 0.062169955952721456)	(52, 0.09251065138226526)	(54, 0.11549636757442641)	(56, 0.12710599687972332)	(58, 0.13495270075041144)	(60, 0.13916985547591676)	(62, 0.14195040293941202)	(64, 0.14451722695117647)	(66, 0.14668713598115513)	(68, 0.14822765890641276)	(70, 0.14932680808674262)	(72, 0.15033543279754238)	(74, 0.15124978350457116)	(76, 0.15212074674395537)	(78, 0.15306455807716257)	(80, 0.15400247728513408)	(82, 0.15492700529938813)	(84, 0.1557685079125939)	(86, 0.15656126658066805)	(88, 0.15736848773795709)	(90, 0.1581532116898008)	(92, 0.1588795500370363)	(94, 0.15958928330406214)	(96, 0.16022777542051106)	(98, 0.1609075124136098)	(100, 0.16158135728147283)	(102, 0.1622064582042043)	(104, 0.16283316607018183)	(106, 0.1634111299910278)	(108, 0.164059799414702)	(110, 0.16470525495188398)	(112, 0.16533249846561024)	(114, 0.16595813503609042)	(116, 0.1665537753326434)	(118, 0.16709049437683957)	(120, 0.1675066926775785)
70M_R2 - illumina_universal_adapter	(1, 0.0013680443501766304)	(2, 0.0028250062266372547)	(3, 0.004344103241946935)	(4, 0.005832132687832088)	(5, 0.0071541113316206245)	(6, 0.008335750265250087)	(7, 0.00912422375133466)	(8, 0.009863417644538948)	(9, 0.010394780211248116)	(10, 0.010918643709475503)	(12, 0.011292525838067237)	(14, 0.011469289595137827)	(16, 0.014202700056747595)	(18, 0.017944735229157124)	(20, 0.021755868961148794)	(22, 0.02590553207031808)	(24, 0.030418364353105125)	(26, 0.0353077570032274)	(28, 0.0405265730187994)	(30, 0.04592804491667769)	(32, 0.05172268226210086)	(34, 0.05786924017841912)	(36, 0.06456215879841012)	(38, 0.07185553854469243)	(40, 0.07962350219632182)	(42, 0.08779587989821878)	(44, 0.09662710433101523)	(46, 0.106215199032723)	(48, 0.11682638093444542)	(50, 0.12832513115576166)	(52, 0.1313863580395751)	(54, 0.13148170333884346)	(56, 0.13158508335434232)	(58, 0.13170667539329695)	(60, 0.13184969334219954)	(62, 0.13201360155330133)	(64, 0.13219304354911543)	(66, 0.13241051653508712)	(68, 0.13266066403372945)	(70, 0.13291509671436136)	(72, 0.1332016682599152)	(74, 0.13350216664693518)	(76, 0.13380641456819609)	(78, 0.13413155275165622)	(80, 0.1344797237883104)	(82, 0.1348332513024516)	(84, 0.13518356493010059)	(86, 0.1356120831290596)	(88, 0.13607059760194573)	(90, 0.1365762490767174)	(92, 0.13710386210918563)	(94, 0.13770967971296394)	(96, 0.13842423380972807)	(98, 0.1392357401490067)	(100, 0.1401484839127894)	(102, 0.14120210303447986)	(104, 0.14233606931847514)	(106, 0.14365215583702798)	(108, 0.14515839730636887)	(110, 0.1468274756913142)	(112, 0.14862028870620897)	(114, 0.15070020891440622)	(116, 0.15295796417517152)	(118, 0.1554739016508096)	(120, 0.15746972516246116)
70M_R2 - polya	(1, 0.10770376412635686)	(2, 0.14287868048790697)	(3, 0.17822286153804587)	(4, 0.2135606148152004)	(5, 0.24866161178743007)	(6, 0.28388152255987087)	(7, 0.31864399015492295)	(8, 0.3539667452951139)	(9, 0.3893516355741539)	(10, 0.4426566212859109)	(12, 0.5136508382506957)	(14, 0.5842074310047936)	(16, 0.6549622134259101)	(18, 0.7258268036355098)	(20, 0.7966972859703452)	(22, 0.8673106573858052)	(24, 0.938041871305979)	(26, 1.007966935364361)	(28, 1.0779900229607549)	(30, 1.147595305313164)	(32, 1.2173725305929053)	(34, 1.287685403621345)	(36, 1.3580320224579532)	(38, 1.4280443970993733)	(40, 1.4978559038350312)	(42, 1.5666989594410419)	(44, 1.6357830565339668)	(46, 1.705130156671503)	(48, 1.7740749853497662)	(50, 1.8430482033587108)	(52, 1.9116062943624135)	(54, 1.9805912966218293)	(56, 2.0491343894885685)	(58, 2.1175098246099653)	(60, 2.1856924265418303)	(62, 2.2531433336489726)	(64, 2.319740418244689)	(66, 2.38652926473444)	(68, 2.453126349330157)	(70, 2.5203335367116413)	(72, 2.5878530067306174)	(74, 2.6557265399114836)	(76, 2.723729164199786)	(78, 2.7920397859435897)	(80, 2.8607939240233162)	(82, 2.929298985899898)	(84, 2.9975164049354284)	(86, 3.0655768791805897)	(88, 3.1341537178554972)	(90, 3.2028200097044373)	(92, 3.2708831621883423)	(94, 3.339009521106594)	(96, 3.4079441724776323)	(98, 3.4765215468002886)	(100, 3.5453426408486024)	(102, 3.613905017034295)	(104, 3.6819660269272054)	(106, 3.7496161949968636)	(108, 3.817136736311337)	(110, 3.8850943661887483)	(112, 3.952527061272435)	(114, 4.0200052864147615)	(116, 4.087188369647555)	(118, 4.154356990391133)	(120, 4.2059768282854835)
70M_R2 - polyg	(1, 0.031424310825161395)	(2, 0.03146930523605209)	(3, 0.031518584828932376)	(4, 0.031592504218252805)	(5, 0.03165249676610706)	(6, 0.03169856247249516)	(7, 0.031752127247365036)	(8, 0.031826046636685465)	(9, 0.03190317991249808)	(10, 0.032080479317317376)	(12, 0.03227170556360283)	(14, 0.032425972115228074)	(16, 0.032607021054288254)	(18, 0.03277521444737966)	(20, 0.03298625966036697)	(22, 0.033214981249061346)	(24, 0.033467271338698465)	(26, 0.03373991604278613)	(28, 0.03407469588572285)	(30, 0.03442875904761273)	(32, 0.03481710366541933)	(34, 0.0352611556490906)	(36, 0.0356944946777879)	(38, 0.03618729060659076)	(40, 0.03672454529853561)	(42, 0.037260193047234366)	(44, 0.0378081606941532)	(46, 0.03844558151510473)	(48, 0.03907871715406666)	(50, 0.03972952916873565)	(52, 0.04045640316371987)	(54, 0.04168946428122441)	(56, 0.07590396422935763)	(58, 0.11620342260270877)	(60, 0.13148545287308439)	(62, 0.14418351840373714)	(64, 0.15043345633555427)	(66, 0.15419370353141953)	(68, 0.15724475310800767)	(70, 0.16010243384731554)	(72, 0.16236608123331653)	(74, 0.1637084144915556)	(76, 0.16488362565220066)	(78, 0.16601973452719074)	(80, 0.16718583967610795)	(82, 0.16834230316554855)	(84, 0.16955126013436167)	(86, 0.17074950414820078)	(88, 0.1719531046395269)	(90, 0.1734673808250983)	(92, 0.17741403343751075)	(94, 0.18230074784888953)	(96, 0.18747242686257604)	(98, 0.19285997191898815)	(100, 0.1987515615069258)	(102, 0.20508131095329907)	(104, 0.21147212424302395)	(106, 0.21823842660458664)	(108, 0.22549109712196785)	(110, 0.2331176497679408)	(112, 0.24139394313308532)	(114, 0.2501673176090223)	(116, 0.25930278996307965)	(118, 0.268905882801751)	(120, 0.27643280496646594)
71M_R1 - polya	(1, 0.017141941469778352)	(2, 0.02051494708012205)	(3, 0.023450896572804993)	(4, 0.02634569828850715)	(5, 0.028930223523732587)	(6, 0.031508076146474655)	(7, 0.034113731321230766)	(8, 0.037371078315196045)	(9, 0.03980769397370677)	(10, 0.043930256386349065)	(12, 0.049262229811602234)	(14, 0.054653700698165456)	(16, 0.059994570940063115)	(18, 0.06528428448625492)	(20, 0.07117008474762784)	(22, 0.07676618241701441)	(24, 0.08248794762150446)	(26, 0.08806180324927981)	(28, 0.09359284294695353)	(30, 0.0992906979567115)	(32, 0.10454982869568787)	(34, 0.10985233141580614)	(36, 0.11527438510958482)	(38, 0.12034279034174486)	(40, 0.12534335734699065)	(42, 0.13067922312952576)	(44, 0.1357070366357453)	(46, 0.14079712785847628)	(48, 0.1465405790535373)	(50, 0.1524725315512535)	(52, 0.15736411255260424)	(54, 0.16192206292978645)	(56, 0.16638159227283894)	(58, 0.17081943562532048)	(60, 0.1750982483802817)	(62, 0.17966342742098756)	(64, 0.18412796122340258)	(66, 0.18853355361554786)	(68, 0.19298084983571417)	(70, 0.19746595752661958)	(72, 0.20194717286024305)	(74, 0.20645785889900137)	(76, 0.21079894937047405)	(78, 0.21518285577204835)	(80, 0.219919854584201)	(82, 0.2247708438596112)	(84, 0.23000773255697635)	(86, 0.23519846901799818)	(88, 0.24000386210810537)	(90, 0.24468469976518967)	(92, 0.24930937626720556)	(94, 0.25382451071428613)	(96, 0.2582973852823054)	(98, 0.2628325375668361)	(100, 0.2672164439684104)	(102, 0.2716198121563945)	(104, 0.2760215121912578)	(106, 0.28032201093679)	(108, 0.2847948855048092)	(110, 0.2894234543641071)	(112, 0.2939080060039722)	(114, 0.2981490072881944)	(116, 0.3022893633341256)	(118, 0.3064997818111323)	(120, 0.30966482433241094)
71M_R1 - polyg	(1, 0.0014512932151330448)	(2, 0.0018794525161493069)	(3, 0.0022987150005210756)	(4, 0.0027424437306652017)	(5, 0.003151697296311915)	(6, 0.0036065470472616584)	(7, 0.004040266858680729)	(8, 0.0044628656492941825)	(9, 0.004937733237694037)	(10, 0.005640581752609045)	(12, 0.00655584176491134)	(14, 0.0074494157866426824)	(16, 0.008413052239449412)	(18, 0.009482894440949787)	(20, 0.01050602835506657)	(22, 0.011627027252272784)	(24, 0.012687416586088384)	(26, 0.013850675362355944)	(28, 0.015155727153895121)	(30, 0.01642908403613829)	(32, 0.017575661281197426)	(34, 0.018616588828603193)	(36, 0.019690879438425818)	(38, 0.020891393634392193)	(40, 0.022121378535493456)	(42, 0.02342476217391179)	(44, 0.024783194865317933)	(46, 0.026788870967610994)	(48, 0.029588031904384846)	(50, 0.04012519911770714)	(52, 0.07625906386827827)	(54, 0.10433185668789777)	(56, 0.11967163673612585)	(58, 0.13109792956285726)	(60, 0.1362708723905901)	(62, 0.13970281941120355)	(64, 0.1427054950287202)	(66, 0.1453990062678407)	(68, 0.1472584409465399)	(70, 0.14849398635804395)	(72, 0.14966336169575462)	(74, 0.15074543702014115)	(76, 0.15178302826130524)	(78, 0.1528945742908267)	(80, 0.1539571878288034)	(82, 0.15504927207191502)	(84, 0.1559940027893522)	(86, 0.15688146024964045)	(88, 0.15769107056428938)	(90, 0.15849512036853552)	(92, 0.1593091790915067)	(94, 0.16005373143444274)	(96, 0.1607615844087203)	(98, 0.16146554502571586)	(100, 0.1621556043667044)	(102, 0.16291739429188917)	(104, 0.1636430408994557)	(106, 0.16436423909869996)	(108, 0.1651137959009986)	(110, 0.16580607944614825)	(112, 0.1665517438911649)	(114, 0.16726182106960355)	(116, 0.16787403326495276)	(118, 0.16849069386862425)	(120, 0.168959444895581)
71M_R2 - illumina_universal_adapter	(1, 0.0009697530142498199)	(2, 0.00215302962796749)	(3, 0.003314064200073926)	(4, 0.004471762465938676)	(5, 0.005429282357302318)	(6, 0.0061966327928899044)	(7, 0.0068060647330377266)	(8, 0.007358779467076902)	(9, 0.007707979520373282)	(10, 0.008052731165347415)	(12, 0.008270703173137512)	(14, 0.008384693636395088)	(16, 0.010990348811151199)	(18, 0.014550743622069547)	(20, 0.018324662032455745)	(22, 0.022300426970463895)	(24, 0.02659480915455297)	(26, 0.03112551303076142)	(28, 0.03590922013029766)	(30, 0.040995418995746685)	(32, 0.046339625543886036)	(34, 0.051906252508137726)	(36, 0.057977217765924155)	(38, 0.06447078181432404)	(40, 0.07138972490853879)	(42, 0.07871458526215855)	(44, 0.08649262721360722)	(46, 0.09485619091047164)	(48, 0.10363846104066754)	(50, 0.11342273514544955)	(52, 0.11608065911799206)	(54, 0.11614238078346323)	(56, 0.11621188716349834)	(58, 0.11631253240178918)	(60, 0.11642096235464394)	(62, 0.11654273753246545)	(64, 0.11667340952693145)	(66, 0.11684522929837823)	(68, 0.11703428665207374)	(70, 0.11725837522130692)	(72, 0.11750192557694994)	(74, 0.11774269567739155)	(76, 0.11799291864551795)	(78, 0.11823591295012068)	(80, 0.11850392955153605)	(82, 0.11876582959150833)	(84, 0.11904385511164876)	(86, 0.11937081312333392)	(88, 0.1197111163599858)	(90, 0.12009312342465875)	(92, 0.12055464578809186)	(94, 0.12105954013266688)	(96, 0.12156888288556415)	(98, 0.12217998297883281)	(100, 0.12286781811566024)	(102, 0.12365741059285906)	(104, 0.12459268844261145)	(106, 0.12569478160444814)	(108, 0.12683913464534613)	(110, 0.12813195331399913)	(112, 0.12960215226450172)	(114, 0.13129143532487497)	(116, 0.13303521138719576)	(118, 0.13500029576354833)	(120, 0.13650719408270945)
71M_R2 - polya	(1, 0.11244686556975664)	(2, 0.149192942515677)	(3, 0.18504711359298684)	(4, 0.22121156115077342)	(5, 0.25760732594131686)	(6, 0.2937117199867531)	(7, 0.32965263502634673)	(8, 0.365693639253191)	(9, 0.4014732994911032)	(10, 0.45570495744969547)	(12, 0.528125600986915)	(14, 0.6005629260553429)	(16, 0.6728579020574589)	(18, 0.7455004099597504)	(20, 0.8179104885272046)	(22, 0.8902910963895239)	(24, 0.9623519749036817)	(26, 1.0347892999721096)	(28, 1.1066355427847188)	(30, 1.1792535844412382)	(32, 1.2517548553792985)	(34, 1.3241727186613166)	(36, 1.396082907343558)	(38, 1.4679780826477122)	(40, 1.5400139388650573)	(42, 1.6112418529208745)	(44, 1.6821339121483618)	(46, 1.752712914640171)	(48, 1.8237845783536693)	(50, 1.8944814636660179)	(52, 1.9649993005433966)	(54, 2.0359697629675635)	(56, 2.1058948494360026)	(58, 2.1750954013989556)	(60, 2.2444683291843956)	(62, 2.3133452594419053)	(64, 2.3824607355956955)	(66, 2.45118920022545)	(68, 2.5199938438477227)	(70, 2.5887206403243566)	(72, 2.657670969319183)	(74, 2.726491182370584)	(76, 2.7953264088000727)	(78, 2.8647938652623606)	(80, 2.9346333198705965)	(82, 3.004235896735672)	(84, 3.0735087353338617)	(86, 3.142535799372247)	(88, 3.2118353284203707)	(90, 3.280817352324493)	(92, 3.3497015112455264)	(94, 3.4183815994347766)	(96, 3.487795674997197)	(98, 3.5573126200020697)	(100, 3.6263552534695833)	(102, 3.6959494895690552)	(104, 3.7649804459647225)	(106, 3.834112603649721)	(108, 3.9030662689507896)	(110, 3.9721011177037386)	(112, 4.041188235254475)	(114, 4.110137452147221)	(116, 4.179064426998355)	(118, 4.2488944287389065)	(120, 4.30257504011658)
71M_R2 - polyg	(1, 0.032245399825887075)	(2, 0.032292108113270664)	(3, 0.03232658327776808)	(4, 0.03239886991300459)	(5, 0.03243890558790481)	(6, 0.032480053364885596)	(7, 0.03252231324394694)	(8, 0.03258125465421671)	(9, 0.03264464447280873)	(10, 0.03279589035576512)	(12, 0.03295547700432573)	(14, 0.03307669613110696)	(16, 0.0332179330953383)	(18, 0.03336806687621413)	(20, 0.03354211085182204)	(22, 0.03373228030759809)	(24, 0.0339674898976369)	(26, 0.03424940777505929)	(28, 0.034539666418085896)	(30, 0.034888866471382285)	(32, 0.03525975251524962)	(34, 0.035692360224588125)	(36, 0.03610939850479877)	(38, 0.0365937189608834)	(40, 0.03707081075344437)	(42, 0.0375990592417112)	(44, 0.03811396250501127)	(46, 0.03872839890452162)	(48, 0.03942012639863101)	(50, 0.04006125324807484)	(52, 0.04073741131305637)	(54, 0.04187842804771269)	(56, 0.06818464671235991)	(58, 0.10608286141374221)	(60, 0.12263427667874227)	(62, 0.13717890373936875)	(64, 0.1444982035825857)	(66, 0.14852067680797743)	(68, 0.15158451803992498)	(70, 0.15447709555146602)	(72, 0.15689925388292944)	(74, 0.15832052034188732)	(76, 0.15947877465879234)	(78, 0.1606336926694557)	(80, 0.16184143552894573)	(82, 0.16297855990632007)	(84, 0.16414293078466818)	(86, 0.16534455708271514)	(88, 0.1665634209630108)	(90, 0.1679902479323715)	(92, 0.17151561152775213)	(94, 0.1763799460281291)	(96, 0.1813882977479388)	(98, 0.18665910555876108)	(100, 0.1922830057801617)	(102, 0.1982672270756643)	(104, 0.20441881973429146)	(106, 0.21092628505869837)	(108, 0.21766339946274127)	(110, 0.22464017186514523)	(112, 0.2320540003852099)	(114, 0.2398559525313907)	(116, 0.2481372206742935)	(118, 0.25696453093875216)	(120, 0.2636571612595726)
72M_R1 - polya	(1, 0.01589933853033079)	(2, 0.018847393376683726)	(3, 0.021774633268714587)	(4, 0.024575887910901303)	(5, 0.02725553939889063)	(6, 0.0299220445999397)	(7, 0.03263894390092643)	(8, 0.03547087321264041)	(9, 0.03799934240081677)	(10, 0.041960209103525443)	(12, 0.047161208874265156)	(14, 0.05243232217535291)	(16, 0.057649754804767944)	(18, 0.06295263829929466)	(20, 0.06859896854013561)	(22, 0.07410835829201556)	(24, 0.07953394046465134)	(26, 0.08492446587211311)	(28, 0.09051328110759045)	(30, 0.09588299156073014)	(32, 0.1011776586259192)	(34, 0.10640002111293682)	(36, 0.11170892998897783)	(38, 0.11675217431643443)	(40, 0.12152975409530666)	(42, 0.12669405381500481)	(44, 0.13162555470346923)	(46, 0.13666003483963235)	(48, 0.14227733369681356)	(50, 0.14789956241159738)	(52, 0.15269028847740987)	(54, 0.15720768132725615)	(56, 0.16166098602826867)	(58, 0.1659620129055565)	(60, 0.17028714130890152)	(62, 0.17477824158486727)	(64, 0.17923209404783563)	(66, 0.18372593313358063)	(68, 0.18808502277818795)	(70, 0.19244356466083945)	(72, 0.19691275445857143)	(74, 0.2012833471042515)	(76, 0.20549837535447182)	(78, 0.20989745162185577)	(80, 0.21447838485857995)	(82, 0.21922693325379244)	(84, 0.22440547478434256)	(86, 0.22943502506290306)	(88, 0.23444704695887658)	(90, 0.23916053858891503)	(92, 0.24386964812330675)	(94, 0.24845551121763354)	(96, 0.2529170323479837)	(98, 0.25746126553366633)	(100, 0.2619408628085594)	(102, 0.266397454081307)	(104, 0.2708726692605532)	(106, 0.2752635290985995)	(108, 0.27987732805267435)	(110, 0.2846401182587388)	(112, 0.2892451530215201)	(114, 0.2933911632653041)	(116, 0.2977124573349582)	(118, 0.3020386812622149)	(120, 0.30546821886775477)
72M_R1 - polyg	(1, 0.001301482407085577)	(2, 0.0016520500588257997)	(3, 0.001967560945392)	(4, 0.002272116592841319)	(5, 0.0026007737663477776)	(6, 0.002928335415942548)	(7, 0.0032635657329191364)	(8, 0.0036568588172151985)	(9, 0.004045769805864508)	(10, 0.004618728811677434)	(12, 0.005322055162981256)	(14, 0.006058247231635725)	(16, 0.0068552408773888875)	(18, 0.007670858429640749)	(20, 0.008573570132871824)	(22, 0.009494905742601596)	(24, 0.010590977416245637)	(26, 0.01602861035191)	(28, 0.022928219947722255)	(30, 0.026181378203480356)	(32, 0.029695271150220245)	(34, 0.03128706739390319)	(36, 0.032574307990136823)	(38, 0.03385333215703279)	(40, 0.03524574304878849)	(42, 0.036736203330640274)	(44, 0.03836031752971803)	(46, 0.04818990582734037)	(48, 0.05918184499526388)	(50, 0.0748330473595973)	(52, 0.09787520179413513)	(54, 0.11138903700676486)	(56, 0.12034932708046263)	(58, 0.12617039338521785)	(60, 0.12933919629977597)	(62, 0.13181069824454453)	(64, 0.1337864756192742)	(66, 0.13543907344005585)	(68, 0.13663045569401674)	(70, 0.13758630030696473)	(72, 0.13849120305801915)	(74, 0.13944321333727622)	(76, 0.1403103205133774)	(78, 0.1412606875067669)	(80, 0.14216887682955642)	(82, 0.14297846900029398)	(84, 0.14381818807860303)	(86, 0.14453411295489124)	(88, 0.14517992430083143)	(90, 0.14585531479238723)	(92, 0.14654549485675078)	(94, 0.14718144648748577)	(96, 0.14787162655184932)	(98, 0.14849004979999733)	(100, 0.14907067747319208)	(102, 0.14972470524846992)	(104, 0.15034751059226464)	(106, 0.15099441746211656)	(108, 0.15160078994723597)	(110, 0.15224276695948524)	(112, 0.1528743364945735)	(114, 0.15343086264171107)	(116, 0.15398355445515777)	(118, 0.15455596569901486)	(120, 0.15497719464305898)
