Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
242M_R1	242M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	85898735.0	11 Gbp	0.0	15-131	19.0	77.57168503397692	255.3289569398199	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
242M_R2	242M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	85898735.0	11 Gbp	0.0	51-131	18.0	78.90238932576882	255.37299285606477	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
269M_R1	269M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	96042449.0	12.3 Gbp	0.0	15-131	17.0	83.32024899464456	256.3390668224214	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
269M_R2	269M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	96042449.0	12.3 Gbp	0.0	51-131	17.0	84.23016243627251	256.3586435462511	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
270M_R1	270M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	99002878.0	12.7 Gbp	0.0	15-131	17.0	81.0034974641621	255.97622691332265	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
270M_R2	270M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	99002878.0	12.7 Gbp	0.0	51-131	17.0	81.64775168146569	256.03568258894455	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
271M_R1	271M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	90544317.0	11.6 Gbp	0.0	15-131	17.0	83.50512112034677	256.40823392593484	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
271M_R2	271M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	90544317.0	11.6 Gbp	0.0	51-131	17.0	84.44447222790986	256.4405833057419	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
272M_R1	272M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89521685.0	11.5 Gbp	0.0	15-131	17.0	83.21615191403288	256.69288818681196	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
272M_R2	272M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89521685.0	11.5 Gbp	0.0	51-131	17.0	83.98006565109269	256.67972726943196	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
69M_R1	69M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	93353347.0	12 Gbp	0.0	15-131	18.0	79.44440624848909	256.1753598829188	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
69M_R2	69M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	93353347.0	12 Gbp	0.0	51-131	17.0	80.28092909505932	256.2186080537637	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
70M_R1	70M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	93344927.0	12 Gbp	0.0	15-131	18.0	79.65147669601296	256.6547196292735	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
70M_R2	70M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	93344927.0	12 Gbp	0.0	51-131	17.0	80.55987221362044	256.6259932636725	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
71M_R1	71M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89919803.0	11.6 Gbp	0.0	15-131	18.0	80.24936349498839	257.3807163923613	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
71M_R2	71M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89919803.0	11.6 Gbp	0.0	51-131	17.0	81.00610197236324	257.28670154559836	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
72M_R1	72M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91280527.0	11.8 Gbp	0.0	15-131	17.0	81.28554279537576	257.5207797825269	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
72M_R2	72M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91280527.0	11.8 Gbp	0.0	51-131	17.0	82.06559253049139	257.41702998165204	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
78M_R1	78M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	97080726.0	12.5 Gbp	0.0	15-131	17.0	81.29933775054073	257.3904338024831	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
78M_R2	78M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	97080726.0	12.5 Gbp	0.0	51-131	17.0	81.79699530635419	257.2977471861922	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
79M_R1	79M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	88168089.0	11.3 Gbp	0.0	15-131	17.0	84.32825498460458	257.2315603551303	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
79M_R2	79M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	88168089.0	11.3 Gbp	0.0	51-131	17.0	85.31740991781359	257.18311381910524	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
80M_R1	80M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91833544.0	11.8 Gbp	0.0	15-131	17.0	83.00804532980652	257.0744171868179	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
80M_R2	80M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91833544.0	11.8 Gbp	0.0	51-131	17.0	83.8936984854574	257.02025394990744	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
81M_R1	81M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	90494064.0	11.6 Gbp	0.0	15-131	17.0	82.44614691236801	257.41854169572935	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
81M_R2	81M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	90494064.0	11.7 Gbp	0.0	51-131	17.0	83.45803356359315	257.335481982553	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
92M_R1	92M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	92301777.0	11.9 Gbp	0.0	15-131	17.0	83.59355613974748	256.79198480653304	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
92M_R2	92M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	92301777.0	11.9 Gbp	0.0	51-131	17.0	84.42951363190267	256.74636903794385	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
93M_R1	93M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91219204.0	11.7 Gbp	0.0	15-131	17.0	82.63465265269005	257.0365830313538	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
93M_R2	93M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91219204.0	11.7 Gbp	0.0	51-131	17.0	83.25993653355756	257.00015314757627	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
94M_R1	94M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	94561401.0	12.1 Gbp	0.0	15-131	18.0	80.83838002329804	256.32049957677765	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
94M_R2	94M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	94561401.0	12.1 Gbp	0.0	51-131	17.0	81.4720667719696	256.36750361281133	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
95M_R1	95M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	85285639.0	11 Gbp	0.0	15-131	17.0	83.70943001959584	256.9988814881249	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
95M_R2	95M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	85285639.0	11 Gbp	0.0	51-131	17.0	84.53430926289354	256.96003810793985	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
